team,season,poll,week,rank,date
Jackson State,2025,COACHES,1,17,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,1,18,2025-11-24T19:53:36.438Z
Western Carolina,2025,COACHES,1,19,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,1,20,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,1,21,2025-11-24T19:53:36.438Z
Richmond,2025,COACHES,1,22,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,1,22,2025-11-24T19:53:36.438Z
Stephen F. Austin,2025,COACHES,1,24,2025-11-24T19:53:36.438Z
Stony Brook,2025,COACHES,1,25,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,1,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,1,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,1,3,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,1,4,2025-11-24T19:53:36.438Z
Susquehanna,2025,COACHES,1,5,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,1,6,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,1,7,2025-11-24T19:53:36.438Z
Mary Hardin-Baylor,2025,COACHES,1,8,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,1,9,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,1,10,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,1,11,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,1,12,2025-11-24T19:53:36.438Z
Springfield,2025,COACHES,1,13,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,1,14,2025-11-24T19:53:36.438Z
Linfield College,2025,COACHES,1,15,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,1,16,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,1,17,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,1,18,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,1,19,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,1,20,2025-11-24T19:53:36.438Z
Randolph-Macon,2025,COACHES,1,21,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,1,22,2025-11-24T19:53:36.438Z
Grove City College,2025,COACHES,1,23,2025-11-24T19:53:36.438Z
Aurora,2025,COACHES,1,24,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,1,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,1,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,1,2,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,1,3,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,1,4,2025-11-24T19:53:36.438Z
Central Oklahoma,2025,COACHES,1,5,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,1,6,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,1,7,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,1,8,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,1,9,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,1,10,2025-11-24T19:53:36.438Z
