team,season,poll,week,rank,date
Wisconsin-Lacrosse,2025,COACHES,9,12,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,9,13,2025-11-24T19:53:36.438Z
Central College,2025,COACHES,9,14,2025-11-24T19:53:36.438Z
Christopher Newport,2025,COACHES,9,15,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,9,16,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,9,17,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,9,18,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,9,19,2025-11-24T19:53:36.438Z
Randolph-Macon,2025,COACHES,9,20,2025-11-24T19:53:36.438Z
Berry College,2025,COACHES,9,21,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,9,22,2025-11-24T19:53:36.438Z
Trinity University TX,2025,COACHES,9,23,2025-11-24T19:53:36.438Z
Wisconsin-Oshkosh,2025,COACHES,9,24,2025-11-24T19:53:36.438Z
Wabash College,2025,COACHES,9,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,10,1,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,10,2,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,10,3,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,10,4,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,10,5,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,10,6,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,10,7,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,10,8,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,10,9,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,10,10,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,10,11,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,10,12,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,10,13,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,10,14,2025-11-24T19:53:36.438Z
Virginia,2025,COACHES,10,15,2025-11-24T19:53:36.438Z
Cincinnati,2025,COACHES,10,16,2025-11-24T19:53:36.438Z
Louisville,2025,COACHES,10,17,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,10,18,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,10,19,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,10,20,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,10,21,2025-11-24T19:53:36.438Z
Houston,2025,COACHES,10,22,2025-11-24T19:53:36.438Z
Navy,2025,COACHES,10,23,2025-11-24T19:53:36.438Z
Utah,2025,COACHES,10,24,2025-11-24T19:53:36.438Z
Memphis,2025,COACHES,10,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,10,1,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,10,2,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,10,3,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,10,4,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,10,5,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,10,6,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,10,7,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,10,8,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,10,9,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,10,10,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,10,11,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,10,12,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,10,13,2025-11-24T19:53:36.438Z
Lamar,2025,COACHES,10,14,2025-11-24T19:53:36.438Z
Harvard,2025,COACHES,10,15,2025-11-24T19:53:36.438Z
SE Louisiana,2025,COACHES,10,16,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,10,17,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,10,18,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,10,19,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,10,20,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,10,21,2025-11-24T19:53:36.438Z
Presbyterian,2025,COACHES,10,22,2025-11-24T19:53:36.438Z
Stephen F. Austin,2025,COACHES,10,23,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,10,24,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,10,25,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,10,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,10,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,10,3,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,10,4,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,10,5,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,10,6,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,10,7,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,10,8,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,10,9,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,10,10,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,10,11,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,10,12,2025-11-24T19:53:36.438Z
Christopher Newport,2025,COACHES,10,13,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,10,14,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,10,15,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,10,16,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,10,17,2025-11-24T19:53:36.438Z
Randolph-Macon,2025,COACHES,10,18,2025-11-24T19:53:36.438Z
Central College,2025,COACHES,10,19,2025-11-24T19:53:36.438Z
Berry College,2025,COACHES,10,20,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,10,21,2025-11-24T19:53:36.438Z
Trinity University TX,2025,COACHES,10,22,2025-11-24T19:53:36.438Z
Wabash College,2025,COACHES,10,23,2025-11-24T19:53:36.438Z
Baldwin Wallace,2025,COACHES,10,24,2025-11-24T19:53:36.438Z
Muhlenberg,2025,COACHES,10,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,10,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,10,2,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,10,3,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,10,4,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,10,5,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,10,6,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,10,7,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,10,8,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,10,9,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,10,10,2025-11-24T19:53:36.438Z
Findlay,2025,COACHES,10,11,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,10,12,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,10,13,2025-11-24T19:53:36.438Z
Northwest Missouri St,2025,COACHES,10,14,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,10,15,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,10,16,2025-11-24T19:53:36.438Z
Ashland,2025,COACHES,10,17,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,10,18,2025-11-24T19:53:36.438Z
Johnson C Smith,2025,COACHES,10,19,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,10,20,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,10,21,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,10,22,2025-11-24T19:53:36.438Z
Albany State GA,2025,COACHES,10,23,2025-11-24T19:53:36.438Z
Frostburg State,2025,COACHES,10,24,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,10,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,11,1,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,11,2,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,11,3,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,11,4,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,11,5,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,11,6,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,11,7,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,11,8,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,11,9,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,11,10,2025-11-24T19:53:36.438Z
Virginia,2025,COACHES,11,11,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,11,12,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,11,13,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,11,14,2025-11-24T19:53:36.438Z
Louisville,2025,COACHES,11,15,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,11,16,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,11,17,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,11,18,2025-11-24T19:53:36.438Z
Utah,2025,COACHES,11,19,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,11,20,2025-11-24T19:53:36.438Z
USC,2025,COACHES,11,21,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,11,22,2025-11-24T19:53:36.438Z
Memphis,2025,COACHES,11,23,2025-11-24T19:53:36.438Z
Iowa,2025,COACHES,11,24,2025-11-24T19:53:36.438Z
Cincinnati,2025,COACHES,11,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,11,1,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,11,2,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,11,3,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,11,4,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,11,5,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,11,6,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,11,7,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,11,8,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,11,9,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,11,10,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,11,10,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,11,12,2025-11-24T19:53:36.438Z
Harvard,2025,COACHES,11,13,2025-11-24T19:53:36.438Z
SE Louisiana,2025,COACHES,11,14,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,11,15,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,11,16,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,11,17,2025-11-24T19:53:36.438Z
Lamar,2025,COACHES,11,18,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,11,19,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,11,20,2025-11-24T19:53:36.438Z
Stephen F. Austin,2025,COACHES,11,21,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,11,22,2025-11-24T19:53:36.438Z
Presbyterian,2025,COACHES,11,23,2025-11-24T19:53:36.438Z
Western Carolina,2025,COACHES,11,24,2025-11-24T19:53:36.438Z
South Dakota,2025,COACHES,11,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,11,1,2025-11-24T19:53:36.439Z
Harding University,2025,COACHES,11,2,2025-11-24T19:53:36.439Z
West Florida,2025,COACHES,11,3,2025-11-24T19:53:36.439Z
Kutztown University,2025,COACHES,11,4,2025-11-24T19:53:36.439Z
Augustana University (SD),2025,COACHES,11,5,2025-11-24T19:53:36.439Z
CSU Pueblo,2025,COACHES,11,6,2025-11-24T19:53:36.439Z
Central Washington,2025,COACHES,11,7,2025-11-24T19:53:36.439Z
Pittsburg St,2025,COACHES,11,8,2025-11-24T19:53:36.439Z
Findlay,2025,COACHES,11,9,2025-11-24T19:53:36.439Z
Virginia Union,2025,COACHES,11,10,2025-11-24T19:53:36.439Z
Western Colorado,2025,COACHES,11,11,2025-11-24T19:53:36.439Z
Indianapolis,2025,COACHES,11,12,2025-11-24T19:53:36.439Z
Minnesota Duluth,2025,COACHES,11,13,2025-11-24T19:53:36.439Z
Northwest Missouri St,2025,COACHES,11,14,2025-11-24T19:53:36.439Z
Ashland,2025,COACHES,11,15,2025-11-24T19:53:36.439Z
Minnesota State Mankato,2025,COACHES,11,16,2025-11-24T19:53:36.439Z
UT Permian Basin,2025,COACHES,11,17,2025-11-24T19:53:36.439Z
Johnson C Smith,2025,COACHES,11,18,2025-11-24T19:53:36.439Z
Albany State GA,2025,COACHES,11,19,2025-11-24T19:53:36.439Z
Slippery Rock,2025,COACHES,11,20,2025-11-24T19:53:36.439Z
Delta State,2025,COACHES,11,21,2025-11-24T19:53:36.439Z
Angelo State,2025,COACHES,11,22,2025-11-24T19:53:36.439Z
Grand Valley State University,2025,COACHES,11,23,2025-11-24T19:53:36.439Z
Assumption,2025,COACHES,11,24,2025-11-24T19:53:36.439Z
Newberry,2025,COACHES,11,25,2025-11-24T19:53:36.439Z
North Central College,2025,COACHES,11,1,2025-11-24T19:53:36.439Z
University of Mount Union,2025,COACHES,11,2,2025-11-24T19:53:36.439Z
Johns Hopkins University,2025,COACHES,11,3,2025-11-24T19:53:36.439Z
Salisbury,2025,COACHES,11,4,2025-11-24T19:53:36.439Z
Hardin-Simmons,2025,COACHES,11,5,2025-11-24T19:53:36.439Z
Bethel (MN),2025,COACHES,11,6,2025-11-24T19:53:36.439Z
Wartburg,2025,COACHES,11,7,2025-11-24T19:53:36.439Z
Wisconsin-River Falls,2025,COACHES,11,8,2025-11-24T19:53:36.439Z
Saint John's (MN),2025,COACHES,11,9,2025-11-24T19:53:36.439Z
Wisconsin-Lacrosse,2025,COACHES,11,10,2025-11-24T19:53:36.439Z
John Carroll University,2025,COACHES,11,11,2025-11-24T19:53:36.439Z
Christopher Newport,2025,COACHES,11,12,2025-11-24T19:53:36.439Z
Depauw,2025,COACHES,11,13,2025-11-24T19:53:36.439Z
Wisconsin-Platteville,2025,COACHES,11,14,2025-11-24T19:53:36.439Z
Cortland,2025,COACHES,11,15,2025-11-24T19:53:36.439Z
Hope College,2025,COACHES,11,16,2025-11-24T19:53:36.439Z
Wisconsin-Whitewater,2025,COACHES,11,17,2025-11-24T19:53:36.439Z
Randolph-Macon,2025,COACHES,11,18,2025-11-24T19:53:36.439Z
Central College,2025,COACHES,11,19,2025-11-24T19:53:36.439Z
Berry College,2025,COACHES,11,20,2025-11-24T19:53:36.439Z
Wheaton,2025,COACHES,11,21,2025-11-24T19:53:36.439Z
Trinity University TX,2025,COACHES,11,22,2025-11-24T19:53:36.439Z
Wabash College,2025,COACHES,11,23,2025-11-24T19:53:36.439Z
Baldwin Wallace,2025,COACHES,11,24,2025-11-24T19:53:36.439Z
Hampden-Sydney,2025,COACHES,11,25,2025-11-24T19:53:36.439Z
Ohio State,2025,COACHES,12,1,2025-11-24T19:53:36.439Z
Indiana,2025,COACHES,12,2,2025-11-24T19:53:36.439Z
Texas A&M,2025,COACHES,12,3,2025-11-24T19:53:36.439Z
Alabama,2025,COACHES,12,4,2025-11-24T19:53:36.439Z
Georgia,2025,COACHES,12,5,2025-11-24T19:53:36.439Z
Oregon,2025,COACHES,12,6,2025-11-24T19:53:36.439Z
Ole Miss,2025,COACHES,12,7,2025-11-24T19:53:36.439Z
Texas Tech,2025,COACHES,12,8,2025-11-24T19:53:36.439Z
Notre Dame,2025,COACHES,12,9,2025-11-24T19:53:36.439Z
Oklahoma,2025,COACHES,12,10,2025-11-24T19:53:36.439Z
Texas,2025,COACHES,12,10,2025-11-24T19:53:36.439Z
Georgia Tech,2025,COACHES,12,12,2025-11-24T19:53:36.439Z
BYU,2025,COACHES,12,12,2025-11-24T19:53:36.439Z
Vanderbilt,2025,COACHES,12,14,2025-11-24T19:53:36.439Z
Utah,2025,COACHES,12,15,2025-11-24T19:53:36.439Z
Miami,2025,COACHES,12,16,2025-11-24T19:53:36.439Z
Michigan,2025,COACHES,12,17,2025-11-24T19:53:36.439Z
USC,2025,COACHES,12,18,2025-11-24T19:53:36.439Z
Virginia,2025,COACHES,12,19,2025-11-24T19:53:36.439Z
Tennessee,2025,COACHES,12,20,2025-11-24T19:53:36.439Z
Louisville,2025,COACHES,12,21,2025-11-24T19:53:36.439Z
Cincinnati,2025,COACHES,12,22,2025-11-24T19:53:36.439Z
Pittsburgh,2025,COACHES,12,23,2025-11-24T19:53:36.439Z
Missouri,2025,COACHES,12,24,2025-11-24T19:53:36.439Z
James Madison,2025,COACHES,12,25,2025-11-24T19:53:36.439Z
North Dakota State,2025,COACHES,12,1,2025-11-24T19:53:36.439Z
Montana,2025,COACHES,12,2,2025-11-24T19:53:36.439Z
Montana State,2025,COACHES,12,3,2025-11-24T19:53:36.439Z
Lehigh,2025,COACHES,12,4,2025-11-24T19:53:36.439Z
Tarleton State,2025,COACHES,12,5,2025-11-24T19:53:36.439Z
Tennessee Tech,2025,COACHES,12,6,2025-11-24T19:53:36.439Z
Villanova,2025,COACHES,12,7,2025-11-24T19:53:36.439Z
Mercer,2025,COACHES,12,8,2025-11-24T19:53:36.439Z
Rhode Island,2025,COACHES,12,9,2025-11-24T19:53:36.439Z
UC Davis,2025,COACHES,12,10,2025-11-24T19:53:36.439Z
Harvard,2025,COACHES,12,11,2025-11-24T19:53:36.439Z
Monmouth,2025,COACHES,12,12,2025-11-24T19:53:36.439Z
Illinois State,2025,COACHES,12,13,2025-11-24T19:53:36.439Z
Lamar,2025,COACHES,12,14,2025-11-24T19:53:36.439Z
South Dakota State,2025,COACHES,12,15,2025-11-24T19:53:36.439Z
Jackson State,2025,COACHES,12,16,2025-11-24T19:53:36.439Z
Stephen F. Austin,2025,COACHES,12,17,2025-11-24T19:53:36.439Z
North Dakota,2025,COACHES,12,18,2025-11-24T19:53:36.439Z
Youngstown State,2025,COACHES,12,19,2025-11-24T19:53:36.439Z
Abilene Christian,2025,COACHES,12,20,2025-11-24T19:53:36.439Z
SE Louisiana,2025,COACHES,12,21,2025-11-24T19:53:36.439Z
South Dakota,2025,COACHES,12,22,2025-11-24T19:53:36.439Z
Southern Illinois,2025,COACHES,12,23,2025-11-24T19:53:36.439Z
West Georgia,2025,COACHES,12,24,2025-11-24T19:53:36.439Z
Lafayette,2025,COACHES,12,25,2025-11-24T19:53:36.439Z
Ferris State,2025,COACHES,12,1,2025-11-24T19:53:36.439Z
Harding University,2025,COACHES,12,2,2025-11-24T19:53:36.439Z
West Florida,2025,COACHES,12,3,2025-11-24T19:53:36.439Z
Kutztown University,2025,COACHES,12,4,2025-11-24T19:53:36.439Z
CSU Pueblo,2025,COACHES,12,5,2025-11-24T19:53:36.439Z
Central Washington,2025,COACHES,12,6,2025-11-24T19:53:36.439Z
Pittsburg St,2025,COACHES,12,7,2025-11-24T19:53:36.439Z
Findlay,2025,COACHES,12,8,2025-11-24T19:53:36.439Z
Virginia Union,2025,COACHES,12,9,2025-11-24T19:53:36.439Z
Indianapolis,2025,COACHES,12,10,2025-11-24T19:53:36.439Z
Minnesota Duluth,2025,COACHES,12,11,2025-11-24T19:53:36.439Z
Northwest Missouri St,2025,COACHES,12,12,2025-11-24T19:53:36.439Z
Augustana University (SD),2025,COACHES,12,13,2025-11-24T19:53:36.439Z
Minnesota State Mankato,2025,COACHES,12,14,2025-11-24T19:53:36.439Z
UT Permian Basin,2025,COACHES,12,15,2025-11-24T19:53:36.439Z
Johnson C Smith,2025,COACHES,12,16,2025-11-24T19:53:36.439Z
Albany State GA,2025,COACHES,12,17,2025-11-24T19:53:36.439Z
Western Colorado,2025,COACHES,12,18,2025-11-24T19:53:36.439Z
Newberry,2025,COACHES,12,19,2025-11-24T19:53:36.439Z
Ashland,2025,COACHES,12,20,2025-11-24T19:53:36.439Z
Grand Valley State University,2025,COACHES,12,21,2025-11-24T19:53:36.439Z
Chadron St,2025,COACHES,12,22,2025-11-24T19:53:36.439Z
Benedict College,2025,COACHES,12,23,2025-11-24T19:53:36.439Z
Western Oregon,2025,COACHES,12,24,2025-11-24T19:53:36.439Z
UNC Pembroke,2025,COACHES,12,25,2025-11-24T19:53:36.439Z
North Central College,2025,COACHES,12,1,2025-11-24T19:53:36.439Z
University of Mount Union,2025,COACHES,12,2,2025-11-24T19:53:36.439Z
Johns Hopkins University,2025,COACHES,12,3,2025-11-24T19:53:36.439Z
Bethel (MN),2025,COACHES,12,4,2025-11-24T19:53:36.439Z
Wisconsin-River Falls,2025,COACHES,12,5,2025-11-24T19:53:36.439Z
Wartburg,2025,COACHES,12,6,2025-11-24T19:53:36.439Z
Saint John's (MN),2025,COACHES,12,7,2025-11-24T19:53:36.439Z
Christopher Newport,2025,COACHES,12,8,2025-11-24T19:53:36.439Z
John Carroll University,2025,COACHES,12,9,2025-11-24T19:53:36.439Z
Salisbury,2025,COACHES,12,10,2025-11-24T19:53:36.439Z
Depauw,2025,COACHES,12,11,2025-11-24T19:53:36.439Z
Hardin-Simmons,2025,COACHES,12,12,2025-11-24T19:53:36.439Z
Wisconsin-Platteville,2025,COACHES,12,13,2025-11-24T19:53:36.439Z
Cortland,2025,COACHES,12,14,2025-11-24T19:53:36.439Z
Hope College,2025,COACHES,12,15,2025-11-24T19:53:36.439Z
Wisconsin-Whitewater,2025,COACHES,12,16,2025-11-24T19:53:36.439Z
Wisconsin-Lacrosse,2025,COACHES,12,17,2025-11-24T19:53:36.439Z
Randolph-Macon,2025,COACHES,12,18,2025-11-24T19:53:36.439Z
Central College,2025,COACHES,12,19,2025-11-24T19:53:36.439Z
Berry College,2025,COACHES,12,20,2025-11-24T19:53:36.439Z
Wheaton,2025,COACHES,12,21,2025-11-24T19:53:36.439Z
Trinity University TX,2025,COACHES,12,22,2025-11-24T19:53:36.439Z
Wabash College,2025,COACHES,12,23,2025-11-24T19:53:36.439Z
Adrian,2025,COACHES,12,24,2025-11-24T19:53:36.439Z
Franklin & Marshall,2025,COACHES,12,25,2025-11-24T19:53:36.439Z
Ohio State,2025,COACHES,13,1,2025-11-24T19:53:36.439Z
Indiana,2025,COACHES,13,2,2025-11-24T19:53:36.439Z
Texas A&M,2025,COACHES,13,3,2025-11-24T19:53:36.439Z
Georgia,2025,COACHES,13,4,2025-11-24T19:53:36.439Z
Oregon,2025,COACHES,13,5,2025-11-24T19:53:36.439Z
Ole Miss,2025,COACHES,13,6,2025-11-24T19:53:36.439Z
Texas Tech,2025,COACHES,13,7,2025-11-24T19:53:36.439Z
Oklahoma,2025,COACHES,13,8,2025-11-24T19:53:36.439Z
Notre Dame,2025,COACHES,13,9,2025-11-24T19:53:36.439Z
Alabama,2025,COACHES,13,10,2025-11-24T19:53:36.439Z
BYU,2025,COACHES,13,11,2025-11-24T19:53:36.439Z
Georgia Tech,2025,COACHES,13,12,2025-11-24T19:53:36.439Z
Vanderbilt,2025,COACHES,13,13,2025-11-24T19:53:36.439Z
Utah,2025,COACHES,13,14,2025-11-24T19:53:36.439Z
Miami,2025,COACHES,13,15,2025-11-24T19:53:36.439Z
USC,2025,COACHES,13,16,2025-11-24T19:53:36.439Z
Michigan,2025,COACHES,13,17,2025-11-24T19:53:36.439Z
Texas,2025,COACHES,13,18,2025-11-24T19:53:36.439Z
Virginia,2025,COACHES,13,19,2025-11-24T19:53:36.439Z
Tennessee,2025,COACHES,13,20,2025-11-24T19:53:36.439Z
Missouri,2025,COACHES,13,21,2025-11-24T19:53:36.439Z
James Madison,2025,COACHES,13,22,2025-11-24T19:53:36.439Z
North Texas,2025,COACHES,13,23,2025-11-24T19:53:36.439Z
Houston,2025,COACHES,13,24,2025-11-24T19:53:36.439Z
Tulane,2025,COACHES,13,25,2025-11-24T19:53:36.439Z
North Dakota State,2025,COACHES,13,1,2025-11-24T19:53:36.439Z
Montana,2025,COACHES,13,2,2025-11-24T19:53:36.439Z
Montana State,2025,COACHES,13,3,2025-11-24T19:53:36.439Z
Lehigh,2025,COACHES,13,4,2025-11-24T19:53:36.439Z
Tarleton State,2025,COACHES,13,5,2025-11-24T19:53:36.439Z
Mercer,2025,COACHES,13,6,2025-11-24T19:53:36.439Z
Villanova,2025,COACHES,13,7,2025-11-24T19:53:36.439Z
Tennessee Tech,2025,COACHES,13,8,2025-11-24T19:53:36.439Z
Rhode Island,2025,COACHES,13,9,2025-11-24T19:53:36.439Z
Harvard,2025,COACHES,13,10,2025-11-24T19:53:36.439Z
Illinois State,2025,COACHES,13,11,2025-11-24T19:53:36.439Z
Monmouth,2025,COACHES,13,11,2025-11-24T19:53:36.439Z
Stephen F. Austin,2025,COACHES,13,13,2025-11-24T19:53:36.439Z
UC Davis,2025,COACHES,13,14,2025-11-24T19:53:36.439Z
Jackson State,2025,COACHES,13,15,2025-11-24T19:53:36.439Z
North Dakota,2025,COACHES,13,16,2025-11-24T19:53:36.439Z
Youngstown State,2025,COACHES,13,17,2025-11-24T19:53:36.439Z
Abilene Christian,2025,COACHES,13,18,2025-11-24T19:53:36.439Z
Lamar,2025,COACHES,13,19,2025-11-24T19:53:36.439Z
SE Louisiana,2025,COACHES,13,20,2025-11-24T19:53:36.439Z
South Dakota,2025,COACHES,13,21,2025-11-24T19:53:36.439Z
South Dakota State,2025,COACHES,13,22,2025-11-24T19:53:36.439Z
West Georgia,2025,COACHES,13,23,2025-11-24T19:53:36.439Z
Lafayette,2025,COACHES,13,24,2025-11-24T19:53:36.439Z
Yale,2025,COACHES,13,25,2025-11-24T19:53:36.439Z
Ferris State,2025,COACHES,13,1,2025-11-24T19:53:36.439Z
Harding University,2025,COACHES,13,2,2025-11-24T19:53:36.439Z
Kutztown University,2025,COACHES,13,3,2025-11-24T19:53:36.439Z
CSU Pueblo,2025,COACHES,13,4,2025-11-24T19:53:36.439Z
Central Washington,2025,COACHES,13,5,2025-11-24T19:53:36.439Z
Pittsburg St,2025,COACHES,13,6,2025-11-24T19:53:36.439Z
Minnesota Duluth,2025,COACHES,13,7,2025-11-24T19:53:36.439Z
Indianapolis,2025,COACHES,13,8,2025-11-24T19:53:36.439Z
West Florida,2025,COACHES,13,9,2025-11-24T19:53:36.439Z
UT Permian Basin,2025,COACHES,13,10,2025-11-24T19:53:36.439Z
Johnson C Smith,2025,COACHES,13,11,2025-11-24T19:53:36.439Z
Findlay,2025,COACHES,13,12,2025-11-24T19:53:36.439Z
Albany State GA,2025,COACHES,13,13,2025-11-24T19:53:36.439Z
Northwest Missouri St,2025,COACHES,13,14,2025-11-24T19:53:36.439Z
Western Colorado,2025,COACHES,13,15,2025-11-24T19:53:36.439Z
Newberry,2025,COACHES,13,16,2025-11-24T19:53:36.439Z
Virginia Union,2025,COACHES,13,17,2025-11-24T19:53:36.439Z
Ashland,2025,COACHES,13,18,2025-11-24T19:53:36.439Z
Augustana University (SD),2025,COACHES,13,19,2025-11-24T19:53:36.439Z
Grand Valley State University,2025,COACHES,13,20,2025-11-24T19:53:36.439Z
Minnesota State Mankato,2025,COACHES,13,21,2025-11-24T19:53:36.439Z
Chadron St,2025,COACHES,13,22,2025-11-24T19:53:36.439Z
Benedict College,2025,COACHES,13,23,2025-11-24T19:53:36.439Z
Frostburg State,2025,COACHES,13,24,2025-11-24T19:53:36.439Z
Western Oregon,2025,COACHES,13,25,2025-11-24T19:53:36.439Z
North Central College,2025,COACHES,13,1,2025-11-24T19:53:36.439Z
University of Mount Union,2025,COACHES,13,2,2025-11-24T19:53:36.439Z
